family	genome_group	genome_detail	ictv_genome_values	dictionary_status	source_release	source_url
Huangdiviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Hydriviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Hypoviridae	RNA	RNA virus; ssRNA(+)	ssRNA(+)	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Hytrosaviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Iflaviridae	RNA	RNA virus; ssRNA(+)	ssRNA(+)	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Infernusviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Inoviridae	DNA	DNA virus; ssDNA; ssDNA(+); ssDNA(+/-)	ssDNA; ssDNA(+); ssDNA(+/-)	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Inseviridae	RNA	RNA virus; dsRNA	dsRNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Intestiviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Iridoviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Itzamnaviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Jasonviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Jeanschmidtviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.…1625 tokens truncated…us; ssRNA(-)	ssRNA(-)	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Mypoviridae	RNA	RNA virus; ssRNA(-)	ssRNA(-)	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Myriaviridae	RNA	RNA virus; ssRNA(-)	ssRNA(-)	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Nairoviridae	RNA	RNA virus; ssRNA(-)	ssRNA(-)	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Nanghoshaviridae	RNA	RNA virus; ssRNA(+)	ssRNA(+)	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Nanhypoviridae	RNA	RNA virus; ssRNA(+)	ssRNA(+)	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Nanicoviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Nanopleoviridae	DNA	DNA virus; dsDNA	dsDNA	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
Nanoviridae	DNA	DNA virus; ssDNA(+)	ssDNA(+)	reference_mapped	ICTV MSL41.v1 (2025)	https://ictv.global/msl
